                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.55944,                  0.412,                 0.8509,                0.99433,                      1,                  0.995,                0.80101,                0.75735,                0.42542,                 0.8807,              0.0010496,              0.0010496,              0.0010496
                     50,                0.50375,                0.39638,                0.83838,                0.99723,                      1,                  0.995,                0.81429,                0.76037,                0.39508,                0.87959,              0.0010298,              0.0010298,              0.0010298
                     51,                0.48247,                0.37858,                0.84325,                0.99807,                      1,                  0.995,                0.81568,                0.72227,                 0.3937,                0.87207,                0.00101,                0.00101,                0.00101
                     52,                0.46313,                 0.3625,                0.84087,                0.99873,                      1,                  0.995,                0.80699,                0.72216,                0.38309,                0.86917,              0.0009902,              0.0009902,              0.0009902
                     53,                0.49016,                 0.3623,                0.83559,                0.99868,                      1,                  0.995,                0.80108,                0.74461,                0.39748,                0.87805,              0.0009704,              0.0009704,              0.0009704
                     54,                0.48753,                0.37271,                0.83963,                0.99864,                      1,                  0.995,                0.80282,                0.74731,                0.40303,                0.87266,              0.0009506,              0.0009506,              0.0009506
                     55,                0.49185,                0.38058,                0.84528,                0.99884,                      1,                  0.995,                0.80408,                0.74341,                0.40647,                0.86967,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.4903,                0.36943,                 0.8307,                0.99906,                      1,                  0.995,                0.80881,                0.75019,                0.38736,                0.87243,               0.000911,               0.000911,               0.000911
                     57,                0.51367,                0.37252,                0.82714,                0.99852,                      1,                  0.995,                0.79785,                0.81077,                0.40883,                0.89559,              0.0008912,              0.0008912,              0.0008912
                     58,                0.49365,                  0.374,                0.84092,                0.99883,                      1,                  0.995,                0.80459,                 0.7462,                 0.3908,                0.87619,              0.0008714,              0.0008714,              0.0008714
                     59,                0.49347,                0.36841,                0.84562,                      1,                0.99878,                  0.995,                 0.7938,                0.80332,                0.39233,                0.89068,              0.0008516,              0.0008516,              0.0008516
                     60,                0.48504,                0.34681,                0.82929,                      1,                0.99773,                  0.995,                0.79132,                0.77981,                0.40748,                0.87159,              0.0008318,              0.0008318,              0.0008318
                     61,                0.49621,                0.36744,                 0.8495,                0.99744,                      1,                  0.995,                0.80038,                0.78327,                0.37429,                0.87062,               0.000812,               0.000812,               0.000812
                     62,                0.46487,                0.33843,                0.83731,                 0.9983,                      1,                  0.995,                0.80688,                0.77473,                0.36114,                0.87108,              0.0007922,              0.0007922,              0.0007922
                     63,                0.46437,                0.34608,                0.85196,                0.99843,                      1,                  0.995,                0.81103,                0.73747,                0.37048,                 0.8659,              0.0007724,              0.0007724,              0.0007724
                     64,                0.46639,                0.34182,                0.83244,                0.99836,                      1,                  0.995,                0.80827,                0.75045,                0.37032,                 0.8814,              0.0007526,              0.0007526,              0.0007526
                     65,                0.42559,                0.32999,                0.81629,                0.99865,                      1,                  0.995,                0.81787,                0.72917,                 0.3473,                0.86293,              0.0007328,              0.0007328,              0.0007328
                     66,                0.47014,                0.34256,                0.82032,                0.99884,                      1,                  0.995,                0.80163,                0.77241,                0.36546,                 0.8707,               0.000713,               0.000713,               0.000713
                     67,                0.43699,                0.32299,                0.83283,                0.99897,                      1,                  0.995,                0.81029,                0.74992,                0.37317,                 0.8663,              0.0006932,              0.0006932,              0.0006932
                     68,                0.46456,                0.34524,                0.83371,                0.99864,                      1,                  0.995,                0.81395,                0.75681,                0.35974,                 0.8723,              0.0006734,              0.0006734,              0.0006734
                     69,                0.45701,                0.36121,                0.83299,                0.99863,                      1,                  0.995,                0.82151,                0.73948,                0.34654,                0.87065,              0.0006536,              0.0006536,              0.0006536
                     70,                0.44223,                0.33401,                0.84062,                0.99865,                      1,                  0.995,                0.82182,                 0.7676,                0.37391,                0.87575,              0.0006338,              0.0006338,              0.0006338
                     71,                0.43863,                0.32418,                0.81745,                0.99885,                      1,                  0.995,                0.80913,                0.78987,                0.37977,                0.88912,               0.000614,               0.000614,               0.000614
                     72,                 0.4424,                 0.3424,                 0.8257,                0.99871,                      1,                  0.995,                0.81337,                0.74769,                 0.3549,                0.87603,              0.0005942,              0.0005942,              0.0005942
                     73,                0.45465,                0.34006,                0.85337,                0.99857,                      1,                  0.995,                0.79091,                0.80303,                0.35596,                0.88793,              0.0005744,              0.0005744,              0.0005744
                     74,                0.43348,                 0.3291,                0.83597,                0.99871,                      1,                  0.995,                0.79849,                0.75416,                0.33665,                0.88168,              0.0005546,              0.0005546,              0.0005546
                     75,                0.42165,                0.30814,                 0.8271,                0.99864,                      1,                  0.995,                0.81779,                0.75438,                0.34219,                 0.8753,              0.0005348,              0.0005348,              0.0005348
                     76,                0.41259,                0.31864,                0.81689,                0.99877,                      1,                  0.995,                0.81063,                0.77233,                0.35959,                  0.885,               0.000515,               0.000515,               0.000515
