                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.45935,                0.36008,                0.83467,                0.99854,                      1,                  0.995,                0.82054,                0.67681,                0.37861,                0.83887,              0.0008516,              0.0008516,              0.0008516
                     60,                0.46058,                0.34648,                0.83408,                0.99749,                      1,                  0.995,                0.82963,                0.66102,                0.38294,                0.84671,              0.0008318,              0.0008318,              0.0008318
                     61,                0.45709,                 0.3554,                0.84282,                0.99734,                      1,                  0.995,                0.81377,                 0.6755,                0.39924,                 0.8405,               0.000812,               0.000812,               0.000812
                     62,                0.47466,                0.35293,                0.83271,                0.99557,                      1,                  0.995,                0.83078,                0.64556,                0.36639,                0.84241,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.4315,                0.34908,                0.83814,                 0.9954,                      1,                  0.995,                0.83375,                0.66044,                 0.3628,                 0.8412,              0.0007724,              0.0007724,              0.0007724
                     64,                0.40859,                0.32708,                0.82707,                0.99628,                      1,                  0.995,                0.85326,                0.64771,                0.36109,                0.83473,              0.0007526,              0.0007526,              0.0007526
                     65,                0.43535,                0.33606,                0.81897,                0.99722,                      1,                  0.995,                0.84177,                0.66391,                0.36204,                 0.8324,              0.0007328,              0.0007328,              0.0007328
                     66,                0.44701,                 0.3425,                 0.8386,                 0.9976,                      1,                  0.995,                 0.8397,                0.64971,                0.36397,                0.83489,               0.000713,               0.000713,               0.000713
                     67,                0.43948,                0.33385,                0.83068,                0.99844,                      1,                  0.995,                0.83116,                0.64091,                0.35068,                0.82693,              0.0006932,              0.0006932,              0.0006932
                     68,                0.42757,                0.34609,                0.83117,                0.99875,                      1,                  0.995,                0.83485,                0.65183,                0.35241,                0.83385,              0.0006734,              0.0006734,              0.0006734
                     69,                0.41062,                0.32327,                0.82303,                0.99879,                      1,                  0.995,                0.84159,                0.65652,                0.35985,                  0.835,              0.0006536,              0.0006536,              0.0006536
                     70,                0.44168,                0.34033,                 0.8272,                0.99851,                      1,                  0.995,                0.82894,                0.65838,                0.35869,                0.83583,              0.0006338,              0.0006338,              0.0006338
                     71,                0.41574,                0.32345,                0.81418,                0.99829,                      1,                  0.995,                0.83139,                0.64772,                0.33758,                0.83955,               0.000614,               0.000614,               0.000614
                     72,                0.41363,                0.32831,                0.81432,                0.99844,                      1,                  0.995,                0.83544,                0.62931,                 0.3252,                0.82916,              0.0005942,              0.0005942,              0.0005942
                     73,                0.41666,                0.32504,                0.82205,                0.99846,                      1,                  0.995,                 0.8391,                0.62739,                0.32867,                0.83404,              0.0005744,              0.0005744,              0.0005744
                     74,                0.38164,                 0.3152,                0.82163,                0.99855,                      1,                  0.995,                0.83865,                0.65096,                0.33123,                0.83939,              0.0005546,              0.0005546,              0.0005546
                     75,                0.38477,                0.31248,                0.80565,                0.99854,                      1,                  0.995,                 0.8469,                0.65103,                0.33343,                0.83709,              0.0005348,              0.0005348,              0.0005348
                     76,                0.39175,                0.30583,                0.81642,                0.99863,                      1,                  0.995,                0.83883,                0.66532,                0.33363,                 0.8413,               0.000515,               0.000515,               0.000515
                     77,                0.38708,                0.29762,                0.81945,                0.99861,                      1,                  0.995,                0.84438,                0.67231,                0.33809,                0.83927,              0.0004952,              0.0004952,              0.0004952
                     78,                0.38575,                0.31144,                0.82514,                0.99781,                      1,                  0.995,                0.84006,                0.65461,                0.33656,                 0.8383,              0.0004754,              0.0004754,              0.0004754
                     79,                0.39609,                0.31934,                0.80466,                0.99723,                      1,                  0.995,                0.83973,                0.66557,                0.32627,                0.84089,              0.0004556,              0.0004556,              0.0004556
                     80,                0.41031,                0.31567,                0.82804,                0.99726,                      1,                  0.995,                0.83871,                0.65397,                0.33029,                0.83763,              0.0004358,              0.0004358,              0.0004358
                     81,                0.40008,                0.30769,                 0.8185,                0.99746,                      1,                  0.995,                0.84453,                0.64981,                0.32875,                0.83774,               0.000416,               0.000416,               0.000416
                     82,                0.37993,                0.30278,                0.82074,                0.99831,                      1,                  0.995,                0.83788,                0.64954,                0.32386,                0.83229,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.3724,                 0.2957,                0.81741,                0.99853,                      1,                  0.995,                0.83976,                0.64149,                0.34249,                0.83364,              0.0003764,              0.0003764,              0.0003764
                     84,                0.38289,                0.30762,                0.81773,                0.99877,                      1,                  0.995,                 0.8299,                0.63978,                0.33534,                0.83786,              0.0003566,              0.0003566,              0.0003566
                     85,                0.38707,                0.32188,                0.82117,                0.99884,                      1,                  0.995,                0.84157,                0.61902,                0.32688,                0.82806,              0.0003368,              0.0003368,              0.0003368
                     86,                0.35335,                0.29273,                0.81674,                0.99884,                      1,                  0.995,                0.84738,                0.62786,                0.32665,                0.83053,               0.000317,               0.000317,               0.000317
                     87,                0.37422,                0.29323,                0.79931,                0.99882,                      1,                  0.995,                0.84429,                0.63784,                0.32415,                 0.8346,              0.0002972,              0.0002972,              0.0002972
                     88,                0.36465,                0.29067,                0.82614,                0.99876,                      1,                  0.995,                0.86232,                0.59963,                0.30107,                0.82465,              0.0002774,              0.0002774,              0.0002774
                     89,                0.34996,                0.28403,                0.81503,                0.99877,                      1,                  0.995,                0.86195,                0.60282,                0.30857,                0.82548,              0.0002576,              0.0002576,              0.0002576
                     90,                0.36681,                0.29172,                0.81303,                0.99874,                      1,                  0.995,                0.85895,                0.61115,                0.30399,                0.82802,              0.0002378,              0.0002378,              0.0002378
                     91,                0.31461,                0.27969,                0.80097,                0.99851,                      1,                  0.995,                0.85844,                0.60913,                0.30851,                0.82726,               0.000218,               0.000218,               0.000218
                     92,                0.33928,                0.27961,                  0.785,                0.99776,                      1,                  0.995,                0.84788,                0.60455,                0.30763,                0.82908,              0.0001982,              0.0001982,              0.0001982
                     93,                0.32216,                0.27072,                0.79177,                0.99772,                      1,                  0.995,                0.84643,                0.61525,                0.30787,                0.83158,              0.0001784,              0.0001784,              0.0001784
                     94,                0.32054,                0.27196,                 0.8007,                0.99815,                      1,                  0.995,                0.84028,                0.64418,                0.31137,                 0.8314,              0.0001586,              0.0001586,              0.0001586
                     95,                0.30414,                0.24766,                0.78139,                 0.9984,                      1,                  0.995,                0.85853,                0.61878,                0.30572,                0.82617,              0.0001388,              0.0001388,              0.0001388
                     96,                  0.309,                0.25775,                0.77933,                0.99867,                      1,                  0.995,                0.86253,                0.59912,                0.29101,                0.82579,               0.000119,               0.000119,               0.000119
                     97,                0.29905,                0.25386,                0.79616,                0.99863,                      1,                  0.995,                0.86328,                0.60596,                0.29159,                0.82714,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                  0.275,                0.23512,                0.76025,                0.99871,                      1,                  0.995,                0.85642,                0.60959,                0.29477,                 0.8273,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.28331,                0.24731,                0.80611,                0.99875,                      1,                  0.995,                0.86049,                0.60584,                0.29543,                 0.8269,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.27515,                 0.2436,                0.78286,                0.99871,                      1,                  0.995,                0.86019,                0.60516,                0.29723,                0.82748,               3.98e-05,               3.98e-05,               3.98e-05
